drug,sentence,title,doi,in-vitro evidence
camostat,"[' compared to the inhibitor camostat mesylate ( ec50 26000 ng ml )  ,  it is 270 times more potent.']","Metadichol®, a Novel Nano Lipid Formulation that Inhibits SARS-COV-2 and a Multitude of Pathological Viruses in vitro",10.21203/rs.3.rs-34021/v5,"[['< p><p>results< p><p>metadichol® ,  a nano lipid formulation of long - chain alcohols ,  has been shown to inhibit tmprss2 ( ec50 96 ng ml ) .', ' compared to the inhibitor camostat mesylate ( ec50 26000 ng ml )  ,  it is 270 times more potent.']]"
serine,[' sars - cov - 2 uses the receptor ace2 for entry and the serine protease tmprss2 for s protein priming.'],"Metadichol®, a Novel Nano Lipid Formulation that Inhibits SARS-COV-2 and a Multitude of Pathological Viruses in vitro",10.21203/rs.3.rs-34021/v5,"[['< p><p>results< p><p>metadichol® ,  a nano lipid formulation of long - chain alcohols ,  has been shown to inhibit tmprss2 ( ec50 96 ng ml ) .', ' compared to the inhibitor camostat mesylate ( ec50 26000 ng ml )  ,  it is 270 times more potent.']]"
carrageenan,"[' here ,  we show that iota - carrageenan can inhibit the cell entry of sspl in a dose dependent manner.', '6 microgram ml iota - carrageenan.', ' in vitro data on iota - carrageenan against various rhino -  and coronaviruses showed similar ic50 values and translated readily into clinical effectiveness when a nasal spray containing iota - carrageenan demonstrated a reduction in severity and duration of symptoms of common cold caused by various respiratory viruses.', ' accordingly ,  our in vitro data on sspl suggest that administration of iota - carrageenan may be an effective and safe prophylaxis or treatment for sars - cov - 2 infections.']",'SARS-CoV-2 in-vitro neutralization assay reveals inhibition of virus entry by iota-carrageenan','10.1101/2020.07.28.224733',"[[' sspl particles were efficiently neutralized with an ic50 value of 2.6 microgram ml iota - carrageenan.', ' in vitro data on iota - carrageenan against various rhino -  and coronaviruses showed similar ic50 values and translated readily into clinical effectiveness when a nasal spray containing iota - carrageenan demonstrated a reduction in severity and duration of symptoms of common cold caused by various respiratory viruses.']]"
cysteine,"[' guided by previous medicinal chemistry studies about sars - cov - 1 main protease ( sc1mpro )  ,  we have designed and synthesized a series of sc2mpro inhibitors that contain beta - ( s - 2 - oxopyrrolidin - 3 - yl )  - alaninal ( opal )  for the formation of a reversible covalent bond with the sc2mpro active site cysteine c145.']",'A Speedy Route to Multiple Highly Potent SARS-CoV-2 Main Protease Inhibitors','10.1101/2020.07.28.223784',"[[' all inhibitors display high potency with ic50 values at or below 100 nm.', ' the most potent compound mpi3 has as an ic50 value as 8.5 nm.']]"
angiotensin,[' we have isolated several nanobodies that bind to the sars - cov - 2 spike protein receptor binding domain and block spike protein interaction with the angiotensin converting enzyme 2 ( ace2 )  receptor.'],'High Affinity Nanobodies Block SARS-CoV-2 Spike Receptor Binding Domain Interaction with Human Angiotensin Converting Enzyme','10.1101/2020.07.24.219857',[['02 micrograms ml ec50 ( 1.1 nm ) .']]
hydroxocobalamin,"['26 m )  ,  hydroxocobalamin ( ic50 = 3.']",'Identification of SARS-CoV-2 3CL Protease Inhibitors by a Quantitative High-throughput Screening','10.1101/2020.07.17.207019',"[['  key resultstwenty - seven small molecule inhibitors of sars - cov - 2 3clpro have been identified with ic50s ranging from 0.26 to 27.1 m with a greater than 80% maximal inhibition.', ' walrycin b ( ic50 = 0.26 m )  ,  hydroxocobalamin ( ic50 = 3.29 m )  ,  suramin sodium ( ic50 = 6.50 m )  ,  z - devd - fmk ( ic50 = 6.81 m )  ,  and lll - 12 ( ic50 = 9.84 m )  are the most potent 3clpro inhibitors with ic50s under 10 m.']]"
suramin,"['29 m )  ,  suramin sodium ( ic50 = 6.']",'Identification of SARS-CoV-2 3CL Protease Inhibitors by a Quantitative High-throughput Screening','10.1101/2020.07.17.207019',"[['  key resultstwenty - seven small molecule inhibitors of sars - cov - 2 3clpro have been identified with ic50s ranging from 0.26 to 27.1 m with a greater than 80% maximal inhibition.', ' walrycin b ( ic50 = 0.26 m )  ,  hydroxocobalamin ( ic50 = 3.29 m )  ,  suramin sodium ( ic50 = 6.50 m )  ,  z - devd - fmk ( ic50 = 6.81 m )  ,  and lll - 12 ( ic50 = 9.84 m )  are the most potent 3clpro inhibitors with ic50s under 10 m.']]"
papain,"[' the sars - cov - 2 papain - like cysteine protease has been implicated in virus maturation ,  dysregulation of host inflammation and antiviral immune responses.']",'Structural basis for the inhibition of the papain-like protease of SARS-CoV-2 by small molecules','10.1101/2020.07.17.208959',[[' inhibitor grl0617 showed a promising ic50 of 2.1 m.']]
cysteine,"[' the sars - cov - 2 papain - like cysteine protease has been implicated in virus maturation ,  dysregulation of host inflammation and antiviral immune responses.']",'Structural basis for the inhibition of the papain-like protease of SARS-CoV-2 by small molecules','10.1101/2020.07.17.208959',[[' inhibitor grl0617 showed a promising ic50 of 2.1 m.']]
lopinavir,"[' we investigated the association between lopinavir ( lpv )  and hydroxychloroquine ( hcq )  plasma concentrations and the values of acute phase inflammation marker c - reactive protein ( crp ) .', ' lopinavir ritonavir was administered 12 hourly ,  800 200 mg on day 1 ,  and 400 100 mg on day 2 until day 5 or 7.']",'Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations','10.1101/2020.07.05.20146878',[[' the ratio of calculated unbound drug fraction to published sars - cov2 ec50 values indicated insufficient lpv concentrations in the lung.']]
hydroxychloroquine,[' we investigated the association between lopinavir ( lpv )  and hydroxychloroquine ( hcq )  plasma concentrations and the values of acute phase inflammation marker c - reactive protein ( crp ) .'],'Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations','10.1101/2020.07.05.20146878',[[' the ratio of calculated unbound drug fraction to published sars - cov2 ec50 values indicated insufficient lpv concentrations in the lung.']]
tocilizumab,"['001 )  ,  and were significantly lower when tocilizumab was preadministrated.']",'Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations','10.1101/2020.07.05.20146878',[[' the ratio of calculated unbound drug fraction to published sars - cov2 ec50 values indicated insufficient lpv concentrations in the lung.']]
ritonavir,"[' lopinavir ritonavir was administered 12 hourly ,  800 200 mg on day 1 ,  and 400 100 mg on day 2 until day 5 or 7.']",'Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations','10.1101/2020.07.05.20146878',[[' the ratio of calculated unbound drug fraction to published sars - cov2 ec50 values indicated insufficient lpv concentrations in the lung.']]
telaprevir,"['10m )  ,  and telaprevir ( 15.']",'A drug repurposing screen identifies hepatitis C antivirals as inhibitors of the SARS-CoV-2 main protease.','10.1101/2020.07.10.197889',"[[' subsequent dose validation studies demonstrated 8 dose responsive hits with an ic50 [&le;] 50 m.', ' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.95 m )  ,  ciluprevir ( 20.77m ) .', ' narlaprevir ( ic50=1.10m )  ,  and telaprevir ( 15.25m ) .']]"
boceprevir,"[' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.', ' taken together this work suggests previous large - scale commercial drug development initiatives targeting hepatitis c ns3 4a viral protease should be revisited because some previous lead compounds may be more potent against sars - cov - 2 mpro than boceprevir and suitable for rapid repurposing.']",'A drug repurposing screen identifies hepatitis C antivirals as inhibitors of the SARS-CoV-2 main protease.','10.1101/2020.07.10.197889',"[[' subsequent dose validation studies demonstrated 8 dose responsive hits with an ic50 [&le;] 50 m.', ' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.95 m )  ,  ciluprevir ( 20.77m ) .', ' narlaprevir ( ic50=1.10m )  ,  and telaprevir ( 15.25m ) .']]"
narlaprevir,[' narlaprevir ( ic50=1.'],'A drug repurposing screen identifies hepatitis C antivirals as inhibitors of the SARS-CoV-2 main protease.','10.1101/2020.07.10.197889',"[[' subsequent dose validation studies demonstrated 8 dose responsive hits with an ic50 [&le;] 50 m.', ' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.95 m )  ,  ciluprevir ( 20.77m ) .', ' narlaprevir ( ic50=1.10m )  ,  and telaprevir ( 15.25m ) .']]"
ciluprevir,"['95 m )  ,  ciluprevir ( 20.']",'A drug repurposing screen identifies hepatitis C antivirals as inhibitors of the SARS-CoV-2 main protease.','10.1101/2020.07.10.197889',"[[' subsequent dose validation studies demonstrated 8 dose responsive hits with an ic50 [&le;] 50 m.', ' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.95 m )  ,  ciluprevir ( 20.77m ) .', ' narlaprevir ( ic50=1.10m )  ,  and telaprevir ( 15.25m ) .']]"
hydroxychloroquine,['1 m against sars - cov - 2 in vero e6 cells and was 4 - fold more potent than hydroxychloroquine [hcq].'],'Tafenoquine inhibits replication of SARS-Cov-2 at pharmacologically relevant concentrations in vitro','10.1101/2020.07.12.199059',"[["" 'tafenoquine [tq] exhibited ec50 90s of ~ 2.6 5.1 m against sars - cov - 2 in vero e6 cells and was 4 - fold more potent than hydroxychloroquine [hcq].""]]"
oleandrin,"[' here ,  we tested in vitro oleandrin ,  derived from the nerium oleander plant and shown previously to have inhibitory activity against several viruses.', ' using vero cells ,  we found that prophylactic oleandrin administration at concentrations down to 0.', ' the potent prophylactic and therapeutic antiviral activities demonstrated here strongly support the further development of oleandrin to reduce the severity of covid - 19 and potentially also to reduce spread by persons diagnosed early after infection.', ' we tested oleandrin ,  derived from the nerium oleander plant and shown previously to reduce the replication of several viruses ,  against sars - cov - 2 infection of vero cells.', ' when administered both before and after virus infection ,  nanogram doses of oleandrin significantly inhibited replication by up to 3 , 000 - fold ,  indicating the potential to prevent disease and virus spread in persons recently exposed to sars - cov - 2 ,  as well as to prevent severe disease in persons at high risk.', ' these results indicate that oleandrin should be tested in animal models and in humans exposed to infection to determine its medical usefulness in controlling the pandemic.']",'Prophylactic and Therapeutic Inhibition of In Vitro SARS-CoV-2 Replication by Oleandrin','10.1101/2020.07.15.203489',"[[' the ec50 values were 11.98ng ml when virus output was measured at 24 hours post - infection ,  and 7.07ng ml measured at 48 hours post - infection.']]"
camostat,"[' compared to the inhibitor camostat mesylate ( ec50 26000 ng ml )  ,  it is 270 times more potent.']","Metadichol ® a novel nano lipid that inhibits In Vitro, SARS-COV-2 and a multitude of pathological viruses",10.21203/rs.3.rs-34021/v4,"[['< p><p>metadichol® ,  a nano lipid formulation of long - chain alcohols ,  has been shown to inhibit tmprss2 ( ec50 96 ng ml ) .', ' compared to the inhibitor camostat mesylate ( ec50 26000 ng ml )  ,  it is 270 times more potent.']]"
serine,[' sars - cov - 2 uses the receptor ace2 for entry and the serine protease tmprss2 for s protein priming.'],"Metadichol ® a novel nano lipid that inhibits In Vitro, SARS-COV-2 and a multitude of pathological viruses",10.21203/rs.3.rs-34021/v4,"[['< p><p>metadichol® ,  a nano lipid formulation of long - chain alcohols ,  has been shown to inhibit tmprss2 ( ec50 96 ng ml ) .', ' compared to the inhibitor camostat mesylate ( ec50 26000 ng ml )  ,  it is 270 times more potent.']]"
nitazoxanide,"[' one drug that has shown promising results in vitro is nitazoxanide.', ' unlike other postulated drugs ,  nitazoxanide shows a high ratio of maximum plasma concentration ( cmax )  ,  after 1 day of 500\u2009mg twice daily ( bd )  ,  to the concentration required to inhibit 50% replication ( ec50 )  of severe acute respiratory syndrome coronavirus 2 ( sars - cov - 2 )  ( cmax:\xa0ec50roughly equal to 14:1 ) .', ' as such ,  it is important to investigate the safety of nitazoxanide for further trials.', ' we aimed to conduct a review of the safety of nitazoxanide for any prior indication and calculate its minimum costs of production.', ' methods a review of nitazoxanide clinical research was conducted using embase and medline databases ,  supplemented by clinicaltrials.', ' we searched for phase 2 or 3 randomised controlled trials ( rcts )  comparing nitazoxanide with placebo or active control for 5–14 days in participants experiencing acute infections of any kind.', ' results nine rcts of nitazoxanide were identified for inclusion.', ' based on a weighted - mean cost of us $61 kg ,  a 14 - day course of treatment with nitazoxanide 500\u2009mg bd would cost $1.', ' conclusion nitazoxanide demonstrates a good safety profile at approved doses.', ' we estimate that it would be possible to manufacture nitazoxanide as generic for $1.', ' if efficacy against sars - cov - 2 is demonstrated in clinical studies ,  nitazoxanide may represent a safe and affordable treatment in the ongoing pandemic.']",Review of safety and minimum pricing of nitazoxanide for potential treatment of COVID-19,10.1016/s2055-6640(20)30017-0,"[[' unlike other postulated drugs ,  nitazoxanide shows a high ratio of maximum plasma concentration ( cmax )  ,  after 1 day of 500\u2009mg twice daily ( bd )  ,  to the concentration required to inhibit 50% replication ( ec50 )  of severe acute respiratory syndrome coronavirus 2 ( sars - cov - 2 )  ( cmax:\xa0ec50roughly equal to 14:1 ) .']]"
tafenoquine,[' abstract tafenoquine [tq] exhibited ec50 90s of ~ 2.'],Tafenoquine inhibits replication of SARS-Cov-2 at pharmacologically relevant concentrations in vitro,10.1101/2020.07.12.199059,[[' abstract tafenoquine [tq] exhibited ec50 90s of ~ 2.6 5.1 μm against sars - cov - 2 in vero e6 cells and was 4 - fold more potent than hydroxychloroquine [hcq].']]
hydroxychloroquine,['1 μm against sars - cov - 2 in vero e6 cells and was 4 - fold more potent than hydroxychloroquine [hcq].'],Tafenoquine inhibits replication of SARS-Cov-2 at pharmacologically relevant concentrations in vitro,10.1101/2020.07.12.199059,[[' abstract tafenoquine [tq] exhibited ec50 90s of ~ 2.6 5.1 μm against sars - cov - 2 in vero e6 cells and was 4 - fold more potent than hydroxychloroquine [hcq].']]
telaprevir,"['10μm )  ,  and telaprevir ( 15.']",A drug repurposing screen identifies hepatitis C antivirals as inhibitors of the SARS-CoV-2 main protease,10.1101/2020.07.10.197889,"[[' subsequent dose validation studies demonstrated 8 dose responsive hits with an ic50 ≤ 50 μm.', ' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.95 μm )  ,  ciluprevir ( 20.77μm ) .', ' narlaprevir ( ic50=1.10μm )  ,  and telaprevir ( 15.25μm ) .']]"
boceprevir,"[' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.', ' taken together this work suggests previous large - scale commercial drug development initiatives targeting hepatitis c ns3 4a viral protease should be revisited because some previous lead compounds may be more potent against sars - cov - 2 mpro than boceprevir and suitable for rapid repurposing.']",A drug repurposing screen identifies hepatitis C antivirals as inhibitors of the SARS-CoV-2 main protease,10.1101/2020.07.10.197889,"[[' subsequent dose validation studies demonstrated 8 dose responsive hits with an ic50 ≤ 50 μm.', ' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.95 μm )  ,  ciluprevir ( 20.77μm ) .', ' narlaprevir ( ic50=1.10μm )  ,  and telaprevir ( 15.25μm ) .']]"
narlaprevir,[' narlaprevir ( ic50=1.'],A drug repurposing screen identifies hepatitis C antivirals as inhibitors of the SARS-CoV-2 main protease,10.1101/2020.07.10.197889,"[[' subsequent dose validation studies demonstrated 8 dose responsive hits with an ic50 ≤ 50 μm.', ' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.95 μm )  ,  ciluprevir ( 20.77μm ) .', ' narlaprevir ( ic50=1.10μm )  ,  and telaprevir ( 15.25μm ) .']]"
ciluprevir,"['95 μm )  ,  ciluprevir ( 20.']",A drug repurposing screen identifies hepatitis C antivirals as inhibitors of the SARS-CoV-2 main protease,10.1101/2020.07.10.197889,"[[' subsequent dose validation studies demonstrated 8 dose responsive hits with an ic50 ≤ 50 μm.', ' hits from our screen are enriched with hepatitis c ns3 4a protease targeting drugs including boceprevir ( ic50=0.95 μm )  ,  ciluprevir ( 20.77μm ) .', ' narlaprevir ( ic50=1.10μm )  ,  and telaprevir ( 15.25μm ) .']]"
angiotensin,[' the viral spike glycoprotein is very likely to interact with host angiotensin - converting enzyme 2 ( ace2 )  and transmits its genetic materials and hijacks host machinery with extreme fidelity for self propagation.'],Energetics and IC50 based epitope screening in SARS CoV-2 (COVID 19) spike protein by immunoinformatic analysis implicating for a suitable vaccine development,10.1186/s12967-020-02435-4,"[[' we verified their structure quality ( swiss - model ,  phyre2 ,  and pymol )  topology ( profunc )  ,  motifs ( meme suite ,  glam2scan )  ,  gene ontology based conserved domain ( interpro database )  and screened several epitopes ( svmtrip )  of sars cov - 2 based on their energetics ,  ic50 and antigenicity with regard to their possible glycosylation and mhc paratope binding ( vaxigen v2.0 ,  hawkdock ,  zdock server )  effects.', ' results: we screened here few pairs of spike protein epitopic regions and selected their energetic ,  inhibitory concentration50 ( ic50 )  ,  mhc ii reactivity and found some of those to be very good target for vaccination.']]"
lopinavir,"[' we investigated the association between lopinavir ( lpv )  and hydroxychloroquine ( hcq )  plasma concentrations and the values of acute phase inflammation marker c - reactive protein ( crp ) .', ' lopinavir ritonavir was administered 12 hourly ,  800 200 mg on day 1 ,  and 400 100 mg on day 2 until day 5 or 7.']",Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations,10.1101/2020.07.05.20146878,[[' the ratio of calculated unbound drug fraction to published sars - cov2 ec50 values indicated insufficient lpv concentrations in the lung.']]
hydroxychloroquine,[' we investigated the association between lopinavir ( lpv )  and hydroxychloroquine ( hcq )  plasma concentrations and the values of acute phase inflammation marker c - reactive protein ( crp ) .'],Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations,10.1101/2020.07.05.20146878,[[' the ratio of calculated unbound drug fraction to published sars - cov2 ec50 values indicated insufficient lpv concentrations in the lung.']]
tocilizumab,"['001 )  ,  and were significantly lower when tocilizumab was preadministrated.']",Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations,10.1101/2020.07.05.20146878,[[' the ratio of calculated unbound drug fraction to published sars - cov2 ec50 values indicated insufficient lpv concentrations in the lung.']]
ritonavir,"[' lopinavir ritonavir was administered 12 hourly ,  800 200 mg on day 1 ,  and 400 100 mg on day 2 until day 5 or 7.']",Effect of Systemic Inflammatory Response to SARS-CoV-2 on Lopinavir and Hydroxychloroquine Plasma Concentrations,10.1101/2020.07.05.20146878,[[' the ratio of calculated unbound drug fraction to published sars - cov2 ec50 values indicated insufficient lpv concentrations in the lung.']]
angiotensin,[' the viral spike glycoprotein is very likely to interact with host angiotensin - converting enzyme 2 ( ace2 )  and transmits its genetic materials and hijacks host machinery with extreme fidelity for self propagation.'],'Energetics based epitope screening in SARS CoV-2 (COVID 19) spike glycoprotein by Immuno-informatic analysis aiming to a suitable vaccine development.','10.1101/2020.04.02.021725',"[[' we verified their structure quality ( swiss - model ,  phyre2 ,  pymol )  topology ( profunc )  ,  motifs ( meme suite ,  glam2scan )  ,  gene ontology based conserved domain ( interpro database )  and screened several epitopes ( svmtrip )  of sars cov - 2 based on their energetics ,  ic50 and antigenicity with regard to their possible glycosylation and mhc paratopic binding ( vaxigen v2.0 ,  hawkdock ,  zdock server )  effects.', ' we screened here few pairs of spike protein epitopic regions and selected their energetic ,  ic50 ,  mhc ii reactivity and found some of those to be very good target for vaccination.']]"
carmofur,"["" 'the antineoplastic drug carmofur was shown to inhibit sars - cov - 2 main protease ( mpro ) ."", ' here the x - ray crystal structure of mpro in complex with carmofur reveals that the carbonyl reactive group of carmofur is covalently bound to catalytic cys145 ,  whereas its fatty acid tail occupies the hydrophobic s2 subsite.', ' carmofur inhibits viral replication in cells ( ec50 = 24.']","'Structural basis for the inhibition of COVID-19 virus main protease by carmofur, an antineoplastic drug'",'10.1101/2020.04.09.033233',[[' carmofur inhibits viral replication in cells ( ec50 = 24.30 m )  and it is a promising lead compound to develop new antiviral treatment for covid - 19.']]
auranofin,"[' herein ,  we report that the clinical approved auranofin could perfectly inhibit the activity of 3 - chymotrypsin - like cysteine protease ( mpro or 3clpro )  of sars - cov - 2.', ' for mpro inhibition ,  ic50 of auranofin ,  vitamin k3 ,  phenyl isothiocyanate ,  gold cluster are about 0.', ' especially for fda approved auranofin ,  it is an anti - inflammation drug in clinic ,  thus it may with strong potential to inhibit virus replication and suppress the inflammation damage in covid - 19 patients.']",'Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus','10.1101/2020.05.28.120642',"[[' for mpro inhibition ,  ic50 of auranofin ,  vitamin k3 ,  phenyl isothiocyanate ,  gold cluster are about 0.51m ,  7.96m ,  10.13m ,  1.61m ,  respectively.']]"
cysteine,"[' herein ,  we report that the clinical approved auranofin could perfectly inhibit the activity of 3 - chymotrypsin - like cysteine protease ( mpro or 3clpro )  of sars - cov - 2.']",'Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus','10.1101/2020.05.28.120642',"[[' for mpro inhibition ,  ic50 of auranofin ,  vitamin k3 ,  phenyl isothiocyanate ,  gold cluster are about 0.51m ,  7.96m ,  10.13m ,  1.61m ,  respectively.']]"
chymotrypsin,"[' herein ,  we report that the clinical approved auranofin could perfectly inhibit the activity of 3 - chymotrypsin - like cysteine protease ( mpro or 3clpro )  of sars - cov - 2.']",'Molecules inhibit the enzyme activity of 3-chymotrypsin-like cysteine protease of SARS-CoV-2 virus','10.1101/2020.05.28.120642',"[[' for mpro inhibition ,  ic50 of auranofin ,  vitamin k3 ,  phenyl isothiocyanate ,  gold cluster are about 0.51m ,  7.96m ,  10.13m ,  1.61m ,  respectively.']]"
vortioxetine,"[' four compounds ,  clomiphene ( citrate )  ,  vortioxetine ,  vortioxetine ( hydrobromide )  and asenapine ( hydrochloride )  ,  showed potent inhibitory effects in both pseudovirus and authentic virus assay.', ' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.']",'Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro','10.1101/2020.06.05.135996',"[[' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.34 m.']]"
clomiphene,"[' four compounds ,  clomiphene ( citrate )  ,  vortioxetine ,  vortioxetine ( hydrobromide )  and asenapine ( hydrochloride )  ,  showed potent inhibitory effects in both pseudovirus and authentic virus assay.', ' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.']",'Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro','10.1101/2020.06.05.135996',"[[' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.34 m.']]"
asenapine,"[' four compounds ,  clomiphene ( citrate )  ,  vortioxetine ,  vortioxetine ( hydrobromide )  and asenapine ( hydrochloride )  ,  showed potent inhibitory effects in both pseudovirus and authentic virus assay.', ' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.']",'Several FDA-approved drugs effectively inhibit SARS-CoV-2 infection in vitro','10.1101/2020.06.05.135996',"[[' the combination of clomiphene ( citrate )  ,  vortioxetine and asenapine ( hydrochloride )  is much more potent than used alone ,  with ic50 of 0.34 m.']]"
angiotensin,"[' in addition to its well - documented interaction with its receptor ,  human angiotensin converting enzyme 2 ( hace2 )  ,  sgp has been found to bind to glycosaminoglycans like heparan sulfate ,  which is found on the surface of virtually all mammalian cells.']",'Effective Inhibition of SARS-CoV-2 Entry by Heparin and Enoxaparin Derivatives','10.1101/2020.06.08.140236',"[[' concentration - response curves showed that plv - s particles were efficiently neutralized by a range of concentrations of unfractionated heparin ( ufh )  ,  enoxaparin ,  6 - o - desulfated ufh and 6 - o - desulfated enoxaparin with an ic50 of 599 ng l ,  108 g l ,  177 ng l ,  and 586 g l respectively.']]"
sulfate,"[' in addition to its well - documented interaction with its receptor ,  human angiotensin converting enzyme 2 ( hace2 )  ,  sgp has been found to bind to glycosaminoglycans like heparan sulfate ,  which is found on the surface of virtually all mammalian cells.', ' here ,  we pseudotyped sars - cov - 2 sgp on a third generation lentiviral ( plv )  vector and tested the impact of various sulfated polysaccharides on transduction efficiency in mammalian cells.', ' various sulfated polysaccharides potently neutralized plv - s pseudotyped virus with clear structure - based differences in anti - viral activity and affinity to sgp.', ' concentration - response curves showed that plv - s particles were efficiently neutralized by a range of concentrations of unfractionated heparin ( ufh )  ,  enoxaparin ,  6 - o - desulfated ufh and 6 - o - desulfated enoxaparin with an ic50 of 599 ng l ,  108 g l ,  177 ng l ,  and 586 g l respectively.']",'Effective Inhibition of SARS-CoV-2 Entry by Heparin and Enoxaparin Derivatives','10.1101/2020.06.08.140236',"[[' concentration - response curves showed that plv - s particles were efficiently neutralized by a range of concentrations of unfractionated heparin ( ufh )  ,  enoxaparin ,  6 - o - desulfated ufh and 6 - o - desulfated enoxaparin with an ic50 of 599 ng l ,  108 g l ,  177 ng l ,  and 586 g l respectively.']]"
heparin,"[' concentration - response curves showed that plv - s particles were efficiently neutralized by a range of concentrations of unfractionated heparin ( ufh )  ,  enoxaparin ,  6 - o - desulfated ufh and 6 - o - desulfated enoxaparin with an ic50 of 599 ng l ,  108 g l ,  177 ng l ,  and 586 g l respectively.']",'Effective Inhibition of SARS-CoV-2 Entry by Heparin and Enoxaparin Derivatives','10.1101/2020.06.08.140236',"[[' concentration - response curves showed that plv - s particles were efficiently neutralized by a range of concentrations of unfractionated heparin ( ufh )  ,  enoxaparin ,  6 - o - desulfated ufh and 6 - o - desulfated enoxaparin with an ic50 of 599 ng l ,  108 g l ,  177 ng l ,  and 586 g l respectively.']]"
enoxaparin,"[' concentration - response curves showed that plv - s particles were efficiently neutralized by a range of concentrations of unfractionated heparin ( ufh )  ,  enoxaparin ,  6 - o - desulfated ufh and 6 - o - desulfated enoxaparin with an ic50 of 599 ng l ,  108 g l ,  177 ng l ,  and 586 g l respectively.']",'Effective Inhibition of SARS-CoV-2 Entry by Heparin and Enoxaparin Derivatives','10.1101/2020.06.08.140236',"[[' concentration - response curves showed that plv - s particles were efficiently neutralized by a range of concentrations of unfractionated heparin ( ufh )  ,  enoxaparin ,  6 - o - desulfated ufh and 6 - o - desulfated enoxaparin with an ic50 of 599 ng l ,  108 g l ,  177 ng l ,  and 586 g l respectively.']]"
chymotrypsin,[' the chymotrypsin - like protease of sars - cov - 2 shares structure similarity with hcv and hiv proteases.'],'First Clinical Study Using HCV Protease Inhibitor Danoprevir to Treat Naive and Experienced COVID-19 Patients','10.1101/2020.03.22.20034041',"[[' danoprevir ( ganovo )  is a potent hcv protease ( ns3 4a )  inhibitor ( ic50 = 0.29 nm )  ,  which was approved and marketed in china since 2018 to treat chronic hepatitis c patients.']]"
