Drug Name,MOA,Experiments,Method,Measurement,Value,Unit
Ursolic acid,11-beta-Hydroxysteroid Dehydrogenase Type 1 (11beta-HSD1) Inhibitors;Drugs Targeting on Quorum Sensing Signaling;Signal Transduction Modulators;Tyrosine-Protein Phosphatase Non-Receptor Type 1 (PTPN1; PTP-1B) Inhibitors;HIV Protease Inhibitors;Lipid Peroxidation Inhibitors;Antiinflammatory Drugs;Caspase 3 Inhibitors;Antioxidants;Steryl-Sulfatase (STS) Inhibitors;Acetylcholinesterase (AChE) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,5.50E-06,M
Hedycoronen A,Signal Transduction Modulators;IL-6 Production Inhibitors;IL-12 Production Inhibitors;TNF-alpha Production Inhibitors,"Inflammatory disorders remission/reduction, IN VITRO",ELISA assay,IC-50,5.60E-06,M
Flecainide acetate,Sodium Channel Protein Type 5 Subunit alpha (Nav1.5) Channel Blockers,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Patch-clamp assay (-60 mV),IC-50,5.90E-06,M
Desipramine hydrochloride,Signal Transduction Modulators;Voltage-Gated Sodium Channel Blockers;Norepinephrine Transporter (NET) Inhibitors,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay,IC-50,5.91E-06,M
Isoimperatorin,Cytochrome P450 CYP1B1 Inhibitors,"Avian influenza remission/reduction, IN VITRO",Cytopathicity assay,IC-50,6.72E-06,M
Cisapride hydrate,5-HT4 Receptor Agonists;Signal Transduction Modulators,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Patch-clamp assay (-60 mV),IC-50,6.77E-06,M
Imperatorin,Voltage-Gated Sodium Channel Blockers;Apoptosis Inducers;Acetylcholinesterase (AChE) Inhibitors;Nitric Oxide (NO) Production Inhibitors,"Infection, viral remission/reduction, IN VITRO",Cytopathicity assay,IC-50,6.93E-06,M
Oleanolic acid,Insulin Secretagogues;Secretory Phospholipase A2 (sPLA2) Inhibitors;Signal Transduction Modulators;Tyrosine-Protein Phosphatase Non-Receptor Type 1 (PTPN1; PTP-1B) Inhibitors;LDL Antioxidants;G-Protein Coupled Bile Acid Receptor 1 (GPBAR1; TGR5; GPCR19; GPR131) Agonists;Antioxidants;Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors;Diacylglycerol Acyltransferase (DGAT) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,7.50E-06,M
Eckol,Lipid Peroxidation Inhibitors;Tyrosinase Inhibitors;Free Radical Scavengers,"3C-Like Protease (viral) inhibition, IN VITRO",Fluorescence resonance energy transfer (FRET) assay,Ki,8.20E-06,M
Amentoflavone,Fatty Acid Synthase (FAS) Inhibitors;NF-kappaB (NFKB) Activation Inhibitors;Signal Transduction Modulators;Tyrosine-Protein Phosphatase Non-Receptor Type 1 (PTPN1; PTP-1B) Inhibitors;Neutrophil Elastase (Leukocyte Elastase) Release Inhibitors;Xanthine Oxidase Inhibitors;Apoptosis Inducers;Antioxidants;Angiogenesis Inhibitors;beta-Hexosaminidase Release Inhibitors;GABA(A) Receptor Modulators;Cytosolic Phospholipase A2 (PLA2G4A; cPLA2) Inhibitors,"Proteasome Subunit beta Type-5 (PSMB5) inhibition, IN VITRO",Fluorescent assay,IC-50,8.30E-06,M
Hesperetin,Transient Receptor Potential Cation Channel Subfamily M Member 3 (TRPM3) Antagonists;Lipid Lowering Agents;Antioxidants;Cytochrome P450 CYP1B1 Inhibitors;Triglyceride Lowering Agents,"3C-Like Protease (viral) inhibition, IN VITRO",Luciferine/luciferase assay,IC-50,8.30E-06,M
"1,5-Dicaffeoylquinic acid",HIV Integrase Inhibitors;Antioxidants;Nitric Oxide (NO) Production Inhibitors,"Ebola virus disease remission/reduction, IN VITRO",,IC-50,8.50E-06,M
Clomipramine hydrochloride,Signal Transduction Modulators;Serotonin Transporter (SERT) Inhibitors,"Voltage-Gated K(v) Channel (nonspecified subtype) blockade, IN VITRO",Patch-clamp assay (-80 mV),IC-50,8.61E-06,M
Insulin argine,,"Insulin Receptor affinity, IN VITRO",Displacement of [125I]-insulin-like growth factor-I,IC-50,8.70E-06,M
RDS-1643,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,9.20E-06,M
Pomolic acid,Signal Transduction Modulators;Tyrosine-Protein Phosphatase Non-Receptor Type 1 (PTPN1; PTP-1B) Inhibitors;Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,9.30E-06,M
ZINC-20759448,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"HIV Reverse Transcriptase inhibition, IN VITRO",Poly(rA)-oligo(dT) as template primer,IC-50,9.75E-06,M
Bindarit,NF-kappaB (NFKB) Modulators;Signal Transduction Modulators,"Cytotoxicity induction, IN VITRO",Dye assay (MTT),MIC,1.00E-05,M
Celecoxib,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators;Apoptosis Inducers;Angiogenesis Inhibitors;Carbonic Anhydrase Inhibitors,"cAMP-Specific 3',5'-cyclic Phosphodiesterase 4 (PDE4) (nonspecified subtype) inhibition, IN VITRO",Chemiluminescent assay,IC-50,1.00E-05,M
Landiolol hydrochloride,beta1-Adrenoceptor Antagonists;Signal Transduction Modulators,"Bradycardia induction, IN VITRO",,MEC,1.00E-05,M
Lixisenatide,Insulin Secretagogues;Signal Transduction Modulators;GLP-1 Receptor Agonists,"Myocardial infarction protection, IN VIVO",Artery (coronary) ligation,MED,1.00E-05,g/kg
Neuregulin-1,,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,1.00E-05,g/kg/h
Propofol,TRPV1 (Vanilloid VR1 Receptor) Agonists,Not Applicable,,MIC,1.00E-05,M
R9F2-PP-PMO,,"Hepatitis protection, IN VITRO",Gene reporter assay,IC-50,1.00E-05,M
Telmisartan,Type-1 Angiotensin II Receptor (AGTR1; AT1) Antagonists;PPARalpha Partial Agonists;Signal Transduction Modulators;PPARgamma Modulators,"Succinate Dehydrogenase Complex inhibition, IN VITRO",Spectrophotometric assay,MIC,1.00E-05,M
Phlorofucofuroeckol,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors;Antioxidants;beta-Secretase 1 (BACE1) Inhibitors;Acetylcholinesterase (AChE) Inhibitors;Reverse Transcriptase/Ribonuclease H (Viral) Inhibitors,"3C-Like Protease (viral) inhibition, IN VITRO",Fluorescence resonance energy transfer (FRET) assay,Ki,1.06E-05,M
Voacangine,Transient Receptor Potential Cation Channel Subfamily M Member 8 (TRPM8) Antagonists;Acetylcholinesterase (AChE) Inhibitors,"Catenin beta-1 inhibition, IN VITRO",Luciferine/luciferase assay,IC-50,1.15E-05,M
Oxybutynin chloride,Muscarinic Receptor Antagonists;Signal Transduction Modulators,"Potassium Channels (nonspecified subtype) blockade, IN VITRO",Whole-cell patch-clamp assay (-80 mV),IC-50,1.15E-05,M
Milrinone,Signal Transduction Modulators;Phosphodiesterase PDE3 Inhibitors,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,IC-50,1.20E-05,M
rLj-RGD3,Apoptosis Inducers,"Myocardial infarction protection, IN VIVO",Dye extravasation assay,MED,1.20E-05,g/kg
Troglitazone,EGR1 Expression Enhancers;Signal Transduction Modulators;Insulin Sensitizers;PPARgamma Agonists;CCL2 Expression Inhibitors,"Cytotoxicity induction, IN VITRO",Dye assay,IC-50,1.30E-05,M
Sibrafiban,Integrin alphaIIbbeta3 (Fibrinogen gpIIb/IIIa) Antagonists;Signal Transduction Modulators;Inhibitors of Blood Coagulation Pathways,"Thrombotic Disorders remission/reduction, IN VITRO",,IC-50,1.50E-05,g/l
EICAR,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;Antimetabolites,"Nephrotoxicity induction, IN VITRO",Dye assay,CC-50,1.60E-05,M
Teicoplanin,,"Infection, HIV remission/reduction, IN VITRO",Cytopathicity assay,IC-50,1.80E-05,M
Cidofovir,DNA Polymerase Inhibitors,"Infection, viral remission/reduction, IN VITRO",Plaque assay,IC-50,1.90E-05,M
Tranilast,"IL-10 Production Enhancers;Urate Transporter 1 (URAT1) Inhibitors;Signal Transduction Modulators;Indoleamine 2,3-dioxygenase 1 (IDO1; IDO) Activators;TNF-alpha Production Inhibitors;IFN-gamma Production Inhibitors;TRPV2 (Vanilloid VR2 Receptor) Antagonists;IL-2 Production Inhibitors;IL-4 Modulators","Cytotoxicity induction, IN VITRO",Thymidine incorporation assay,IC-50,1.90E-05,M
Digitoflavone,MAO-A Inhibitors;Lysosomal alpha-Glucosidase (GAA) Inhibitors;Antiinflammatory Drugs;Xanthine Oxidase Inhibitors;Aldo-Keto Reductase Family 1 Member B10 (AKR1B10) Inhibitors;Antioxidants;Apoptosis Inducers;Aldose Reductase Inhibitors;Nitric Oxide (NO) Production Inhibitors,"Proteasome Subunit beta Type-5 (PSMB5) inhibition, IN VITRO",Fluorescent assay,IC-50,2.00E-05,M
Pimagedine,Inducible Nitric Oxide Synthase (NOS-2) Inhibitors;Signal Transduction Modulators;AGE Inhibitors (Maillard's Reaction Inhibitors),"Inflammatory disorders remission/reduction, IN VITRO",,IC-50,2.14E-05,M
Ethynylcytidine,Apoptosis Inducers;DNA-Directed RNA Polymerase Inhibitors,"Infection, poliovirus remission/reduction, IN VITRO",Plaque assay,IC-50,2.30E-05,M
Lamivudine,DNA Polymerase Inhibitors;Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors;Reverse Transcriptase/Ribonuclease H (Viral) Inhibitors,"Cytotoxicity induction, IN VITRO",Dye assay (MTT),CC-50,2.73E-05,M
ADP,,"P2Y Purinoceptor 2 (P2Y2) agonism, IN VITRO",Fluorescent assay,EC-50,2.93E-05,M
Idarubicinol,,"alpha-1 Adrenergic Receptors (nonspecified subtype) antagonism, IN VITRO",,IC-50,3.07E-05,M
Edetic acid,Signal Transduction Modulators;Protein Kinase C (PKC) Inhibitors,"Hyperferritinemia remission/reduction, IN VITRO",Spectrophotometric assay,EC-50,4.20E-05,M
Adefovir dipivoxil,DNA Polymerase Inhibitors,"Hepatitis B (HBV) remission/reduction, IN VITRO",ELISA assay,MIC,5.00E-05,M
Cocaine,Dopamine Reuptake Inhibitors;Signal Transduction Modulators,"Apoptosis induction, IN VITRO",Dye assay,EC-50,5.00E-05,M
N-Desethylamiodarone,Apoptosis Inducers,"Arrhythmia, ventricular remission/reduction, IN VIVO",Artery (coronary) ligation,MED,5.00E-05,g/kg
PF-02378867,,"3C-Like Protease (viral) inhibition, IN VITRO",Fluorescent assay,IC-50,5.00E-05,M
gBh-1m,,"Infection, herpes simplex virus remission/reduction, IN VITRO",Viral entry assay,IC-50,6.00E-05,M
Rifampicin,Enoyl-(Acyl-Carrier Protein) Reductase FabI (Bacterial) Inhibitors;RNA Polymerase (Bacterial) Inhibitors;Cell Wall Biosynthesis Inhibitors;Bacterial Fatty Acid Biosynthesis Inhibitors ,"Tuberculosis remission/reduction, IN VITRO",Broth dilution,MIC,6.00E-05,g/l
Indinavir sulfate,HIV Protease Inhibitors,"Cytotoxicity induction, IN VITRO",Dye assay (MTT),CC-50,7.02E-05,M
Bisaramil hydrochloride,,"Bradycardia induction, IN VIVO",,ED-15,7.40E-05,g
Levofloxacin,DNA Gyrase (Mycobacterium tuberculosis) Inhibitors;DNA Topoisomerase IV (Bacterial) Inhibitors,"Tuberculosis remission/reduction, IN VITRO",Dye assay (alamar blue),MIC,7.80E-05,g/l
Alizarin,DNA Methyltransferase 1 (DNMT1) Inhibitors,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Poly(dC)-poly(rG) as template primer,IC-50,1.00E-04,M
Bisphenol A,Transforming Growth Factor beta-1 Inhibitors;Fatty Acid Amide Hydrolase (FAAH) Inhibitors;TNF-alpha Modulators;IL-6 Modulators;Signal Transduction Modulators;Voltage-Dependent T-Type Calcium Channel Subunit alpha-1H (Cav3.2) Blockers,"Calcium-Activated Potassium Channel subunit alpha-1 (KCa1.1) activation, IN VITRO",Whole-cell patch-clamp assay (-80 mV),MEC,1.00E-04,M
Coronarin A,Angiogenesis Inhibitors,"Inflammatory disorders remission/reduction, IN VITRO",ELISA assay,IC-50,1.00E-04,M
Eremomycin,,"Infection, viral remission/reduction, IN VITRO",Cytopathicity assay,IC-50,1.00E-04,M
Etoricoxib,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators,"cGMP-Specific 3',5'-cyclic Phosphodiesterase (PDE5) inhibition, IN VITRO",Chemiluminescent assay,IC-50,1.00E-04,M
Ferulic acid,Antioxidants,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",Voltage-clamp assay,MIC,1.00E-04,M
Homocysteine,,Not Applicable,,MIC,1.00E-04,M
Lumiracoxib,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators,"cGMP-Specific 3',5'-cyclic Phosphodiesterase (PDE5) inhibition, IN VITRO",Chemiluminescent assay,IC-50,1.00E-04,M
Parecoxib sodium,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators,"cGMP-Specific 3',5'-cyclic Phosphodiesterase (PDE5) inhibition, IN VITRO",Chemiluminescent assay,IC-50,1.00E-04,M
Piroxicam,Signal Transduction Modulators;Cyclooxygenase (COX) Inhibitors,"Arthritis protection, IN VIVO",,ED-50,1.00E-04,g/kg
Rofecoxib,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators,"cGMP-Specific 3',5'-cyclic Phosphodiesterase (PDE5) inhibition, IN VITRO",Chemiluminescent assay,IC-50,1.00E-04,M
Valdecoxib,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Signal Transduction Modulators,"cGMP-Specific 3',5'-cyclic Phosphodiesterase (PDE5) inhibition, IN VITRO",Chemiluminescent assay,IC-50,1.00E-04,M
Vancomycin hydrochloride,Penicillin-Binding Protein (PBP) (Bacterial) Inhibitors;Cell Wall Biosynthesis Inhibitors,"Infection, viral remission/reduction, IN VITRO",Cytopathicity assay,IC-50,1.00E-04,M
Vanillin,Antioxidants,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,1.00E-04,M
Colistin sulfate,,"Infection, bacterial Gram-negative remission/reduction, IN VITRO",Broth dilution,MIC,1.25E-04,g/l
FG-2216,Hypoxia-Inducible Factor (HIF) Prolyl Hydroxylase Inhibitors;alpha-Ketoglutarate-Dependent Dioxygenase FTO Inhibitors,"Angiogenic Factor (nonspecified subtype) induction, IN VITRO",Matrigel-coated plate assay,MEC,1.25E-04,M
H2O2,,"Neurotoxicity induction, IN VITRO",Dye assay (MTT),EC-50,1.30E-04,M
NG-nitro-arginine,Signal Transduction Modulators;Nitric Oxide Synthase Inhibitors,"Inflammatory disorders remission/reduction, IN VITRO",,IC-50,1.49E-04,M
Stigmasterol,Antiinflammatory Drugs;Antioxidants,"Ribonuclease H (nonspecified subtype) inhibition, IN VITRO",Fluorescent assay,IC-50,1.58E-04,M
Triflocin,Mucin Production Inhibitors;Chloride Channel Protein 1 (CLCN1; ClC-1) Channel Blockers,"Calcium-Activated Chloride Channel Regulators (nonspecified subtype) blockade, IN VITRO",Whole-cell voltage-clamp assay (-50 mV),IC-50,1.59E-04,M
Abietic acid,11-beta-Hydroxysteroid Dehydrogenase Type 1 (11beta-HSD1) Inhibitors;11-beta-Hydroxysteroid Dehydrogenase Type 2 (11beta-HSD2) Inhibitors,"Proteasome Subunit beta Type-5 (PSMB5) inhibition, IN VITRO",Fluorescent assay,IC-50,1.89E-04,M
Phloroglucinol,,"Cytotoxicity induction, IN VITRO",Dye assay (MTT),CC-50,2.00E-04,M
Zanamivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Ischemia, myocardia remission/reduction, IN VIVO",Infarct size,MED,2.00E-04,g/kg
Arachidonic acid,Cytochrome P450 CYP1A2 Inhibitors;Cytochrome P450 CYP4F2 Inhibitors,"Fibulin 2 inhibition, IN VITRO",RNA assay,MIC,2.50E-04,M
Ceftolozane sulfate/tazobactam,Cell Wall Biosynthesis Inhibitors;Penicillin-Binding Protein 3 (PBP3) (Pseudomonas aeruginosa) Inhibitors;Penicillin-Binding Protein 1b (PBP1b; mrcB) (Pseudomonas aeruginosa) Inhibitors;beta-Lactamase (Bacterial) Inhibitors,"Infection, Pseudomonas aeruginosa remission/reduction, IN VITRO",Broth dilution,MIC,2.50E-04,g/l
Terutroban sodium,Prostanoid TP Receptor Antagonists;Signal Transduction Modulators,"Thrombosis, arterial remission/reduction, IN VIVO",,ED-100,3.00E-04,g/kg
Ascorbic acid,Antioxidants;Aldose Reductase Inhibitors,"Oxidative stress remission/reduction, IN VITRO",Spectrophotometric assay,EC-50,3.30E-04,M
Xuefu Zhuyu,Angiogenesis Inducers,"Coronary heart disease remission/reduction, IN VIVO",,MED,3.40E-04,g/kg
Ibuprofen,Prostaglandin G/H Synthase 2 (PTGS2; COX-2) Inhibitors;Acid-Sensing Ion Channels 1 (ASIC1) Blockers;Signal Transduction Modulators;NF-kappaB (NFKB) Activation Inhibitors;Cyclooxygenase-3 Inhibitors;Prostaglandin G/H Synthase 1 (PTGS1; COX-1) Inhibitors,"Cytotoxicity induction, IN VITRO",Wound closure assay,IC-50,4.10E-04,M
Ethambutol,Cell Wall Biosynthesis Inhibitors,"Infection, mycobacterial remission/reduction, IN VITRO",Broth dilution,MIC,5.00E-04,g/l
JPL-32,,"Infection, HIV protection, IN VITRO",Dye assay,IC-50,6.30E-04,g/l
Ceftazidime/avibactam sodium,Penicillin-Binding Protein (PBP) (Bacterial) Inhibitors;Cell Wall Biosynthesis Inhibitors;beta-Lactamase (Bacterial) Inhibitors,"Infection, Pseudomonas aeruginosa remission/reduction, IN VITRO",Broth dilution,MIC,1.00E-03,g/l
Mucroporin,Cell Membrane Disrupting Agents,"Influenza A remission/reduction, IN VITRO",Plaque assay,IC-50,1.00E-03,g/l
RLip-aminoethylphosphonic acid,,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,1.00E-03,g/kg
Streptomycin,16S Ribosomal Protein Inhibitors;30S Ribosomal Protein Inhibitors,"Tuberculosis remission/reduction, IN VITRO",Broth dilution,MIC,1.00E-03,g/l
TG-6,Na+/H+ Exchanger type 1 (NHE-1) Inhibitors,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,1.00E-03,g/kg
Tigecycline dihydrochloride,30S Ribosomal Protein Inhibitors,"Infection, bacterial Gram-negative remission/reduction, IN VITRO",Broth dilution (calcium/magnesium-rich),MIC,1.00E-03,g/l
Salidroside,alpha-Synuclein (ASYN; NACP) Aggregation Inhibitors;beta-Amyloid (Abeta) Protein Neurotoxicity Inhibitors;Antioxidants;Antiamyloidogenic Agents,"AMP-activated Protein Kinase (AMPK) induction, EX VIVO",Chemiluminescent assay,MED,1.20E-03,g/l
Coronalolide methyl ester,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Leukemia, lymphocytic remission/reduction, IN VITRO",,CC-50,1.50E-03,g/l
Coronalolide,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors,"Leukemia, lymphocytic remission/reduction, IN VITRO",,CC-50,1.73E-03,g/l
Pyrimethamine,Immune Checkpoint Inhibitors;Dihydrofolate Reductase (DHFR) (Protozoal) Inhibitors;Pharmacological Chaperones;Signal Transducer and Activator of Transcription 3 (STAT3) Inhibitors;Signal Transduction Modulators;Anti-PD-1,"Leishmaniasis remission/reduction, IN VITRO",Dye assay (alamar blue),IC-30,1.78E-03,g/l
MK-626,Signal Transduction Modulators;Dipeptidyl Peptidase IV (CD26; DPP-IV; DP-IV) Inhibitors,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,2.00E-03,g/kg
Trimetazidine,3-Ketoacyl-CoA Thiolase (3-KAT) Inhibitors,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,3.00E-03,g/kg
Pseudogensenoside G1,Platelet Adhesion Inhibitors,Not Applicable,Artery (coronary) ligation,MED,4.50E-03,g/kg
CMX-2043,,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,5.00E-03,g/kg
Oseltamivir phosphate,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Ischemia, myocardia remission/reduction, IN VIVO",ELISA assay,MED,5.00E-03,g/kg
Resveratrol-O-3'-glucoside,VCAM1 Expression Inhibitors;Xanthine Oxidase Inhibitors;ICAM1 Expression Inhibitors,"Myocardial infarction protection, IN VIVO",Artery (coronary) ligation,MED,5.00E-03,g/kg
Oleic acid,Signal Transduction Modulators;PPARalpha Agonists,Not Applicable,,IC-50,6.17E-03,g/l
Gabapentin,Calcium Channels (Voltage-Gated) alpha2/delta-1 Subunit Ligands;Calcium Channels (Voltage-Gated) alpha2/delta-2 Subunit Ligands,"Pain, neuropathic remission/reduction, IN VIVO",Von Frey fiber assay,ED-50,9.20E-03,g/kg
Oleracein E,Antioxidants;Apoptosis Inhibitors;Free Radical Scavengers,"Coronary heart disease remission/reduction, IN VIVO",,MED,1.00E-02,g/kg
Tramadol hydrochloride,Signal Transduction Modulators;Norepinephrine Reuptake Inhibitors;5-HT Reuptake Inhibitors;mu-Opioid Receptor Agonists,"Pain, neuropathic remission/reduction, IN VIVO",Acetone withdrawal test,ED-50,1.03E-02,g/kg
Lamivudine/Zidovudine,Reverse Transcriptase/Ribonuclease H (HIV-1) Inhibitors;Reverse Transcriptase/Ribonuclease H (Viral) Inhibitors,"Cytotoxicity induction, IN VITRO",Dye assay (MTT),CC-50,1.25E-02,g/l
Meropenem,Penicillin-Binding Protein (PBP) (Bacterial) Inhibitors;Cell Wall Biosynthesis Inhibitors,"Pneumonia, bacterial remission/reduction, IN VITRO",,MIC,1.60E-02,g/l
Valsartan,Type-1 Angiotensin II Receptor (AGTR1; AT1) Antagonists;Signal Transduction Modulators,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,1.60E-02,g/kg/d
20(S)-Protopanaxadiol,Selective Estrogen Receptor Modulators (SERM);Signal Transduction Modulators;Norepinephrine Reuptake Inhibitors;5-HT Reuptake Inhibitors;Apoptosis Inducers,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,2.50E-02,g/kg
Aliskiren hemifumarate,Renin Inhibitors,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,2.50E-02,g/kg/d
Carvacrol,Quorum Sensing Signaling Inhibitors;Antioxidants,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,2.50E-02,g/kg
Caulophine,,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,2.50E-02,g/kg
Human leukocyte interferon alpha,,"Cytotoxicity induction, IN VITRO",,CC-50,3.20E-02,M
Imipenem,Penicillin-Binding Protein (PBP) (Bacterial) Inhibitors;Cell Wall Biosynthesis Inhibitors,"Infection, bacterial Gram-negative remission/reduction, IN VITRO",Broth dilution (calcium/magnesium-rich),MIC,3.20E-02,g/l
Oleanolic acid 3-O-glucuronide,Glucose Lowering Agents,"Arrhythmia, ventricular remission/reduction, IN VIVO",Artery (coronary) ligation,MED,4.00E-02,g/kg
Scutellarein 7-O-glucuronide,Urease (Helicobacter pylori) Inhibitors;Antioxidants;Free Radical Scavengers,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,4.50E-02,g/kg
Lopinavir/ritonavir,HIV-1 Protease Inhibitors;HIV Protease Inhibitors;Tumor Necrosis Factor Receptor Superfamily Member 6 (CD95)/PLC-gamma-1 Interaction Inhibitors,"Cytotoxicity induction, IN VITRO",Dye assay (MTT),CC-50,4.70E-02,g/l
Acetylcysteine,NF-kappaB (NFKB) Activation Inhibitors;Signal Transduction Modulators;Antioxidants,"Ischemia, myocardia protection, IN VIVO",Artery (coronary) ligation,MED,5.00E-02,g/kg
Ertapenem sodium,Penicillin-Binding Protein 2 (PBP2) (Escherichia coli) Inhibitors;Cell Wall Biosynthesis Inhibitors;beta-Lactamase (Bacterial) Inhibitors,"Infection, bacterial Gram-negative remission/reduction, IN VITRO",Broth dilution (calcium/magnesium-rich),MIC,6.40E-02,g/l
alpha-Hydroxyhydrocaffeic acid,VEGFR Inhibitors;Signal Transduction Modulators;Angiogenesis Inhibitors,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,6.87E-02,g/l
Salvianolic acid B,beta-Amyloid (Abeta) Aggregation Inhibitors;beta-Amyloid (Abeta) Protein Neurotoxicity Inhibitors;Antiamyloidogenic Agents,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,1.42E-01,g/l
Dan-Lou,,"Coronary heart disease remission/reduction, IN VIVO",,MED,2.50E-01,g/kg
Daptomycin,Drugs Acting on Potassium Channels,"Infection, bacterial Gram-negative remission/reduction, IN VITRO",Broth dilution (calcium/magnesium-rich),MIC,2.56E-01,g/l
EtOH,,Not Applicable,,MEC,8.00E-01,g/l
Tanshinone,,"5-Hydroxytryptamine Receptor 1D (5-HT1D) antagonism, IN VITRO",,IC-50,8.42E-01,g/l
Dobutamine hydrochloride,Signal Transduction Modulators;beta1-Adrenoceptor Agonists,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,pIC-50,3.00E+00, 
Raloxifene hydrochloride,Selective Estrogen Receptor Modulators (SERM);Signal Transduction Modulators;ENG Expression Enhancers;ACVRL1 Expression Enhancers,"L-Type Calcium Channel (nonspecified subtype) blockade, IN VITRO",Calcium-free medium,pIC-50,3.29E+00, 
Isradipine,Calcium Channel Blockers,"K(ATP) Channel (nonspecified subtype) blockade, IN VITRO",,pIC-50,3.71E+00, 
Bay-k-8644,Transmembrane Protein 176B (TMEM176B) Inhibitors;L-Type Calcium Channel Activators,"L-Type Calcium Channel (nonspecified subtype) blockade, IN VITRO",Calcium-free medium,pIC-50,3.77E+00, 
Enoximone,Signal Transduction Modulators;Phosphodiesterase PDE3 Inhibitors,"Prostanoid TP Receptor (Thromboxane A2 receptor; TXA2-R) (nonspecified subtype) antagonism, IN VITRO",,pIC-50,3.98E+00, 
Estradiol,,"Endothelin Receptor (nonspecified subtype) antagonism, IN VITRO",,pIC-50,4.48E+00, 
Telcagepant,Calcitonin Gene-Related Peptide (CGRP) Receptor Antagonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 1D (5-HT1D) agonism, IN VITRO",,pEC-50,4.50E+00, 
Ibogaine,Serotonin Transporter (SERT) Ligands;Dopamine Transporter (DAT) Ligands;Signal Transduction Modulators;kappa-Opioid Receptor Ligands;mu-Opioid Receptor Ligands,"Muscarinic Acetylcholine Receptor (mAChR) (nonspecified subtype) affinity, IN VITRO",Displacement of [3H]-quinuclidinylbenzylate (QNB),pKi,4.63E+00, 
Sarpogrelate hydrochloride,5-HT2A Receptor Antagonists;Signal Transduction Modulators,"5-Hydroxytryptamine Receptor 2A (5-HT2A) antagonism, IN VITRO",,pIC-50,4.79E+00, 
CVT-3032,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Adenosine A2A Receptor affinity, IN VITRO",Displacement of [3H]-ZM-241385,pKi,4.87E+00, 
